period,year,quarter,classification,as_of_date,non_interest_revenue,net_interest_income,total_revenue,provision,rewards_services,marketing,salaries_other,total_expenses,pretax_income,billed_business,card_balances,nco_rate,delinquency
2025Q1,2025,Q1,PUBLIC_ACTUAL,2026-01-30,5243,3006,8249,631,3882,765,1239,5886,1732,164.3,102.896,0.027,0.013
2025Q2,2025,Q2,PUBLIC_ACTUAL,2026-01-30,5540,3013,8553,829,3967,800,1281,6048,1676,176.5,105.784,0.024,0.012
2025Q3,2025,Q3,PUBLIC_ACTUAL,2026-01-30,5620,3236,8856,734,4145,825,1300,6270,1852,177.5,106.969,0.023,0.013
2025Q4,2025,Q4,PUBLIC_ACTUAL,2026-01-30,5904,3252,9156,773,4563,797,1473,6833,1550,189.2,114.368,0.026,0.013
2026Q1,2026,Q1,PUBLIC_ACTUAL,2026-04-17,5803,3321,9123,631,4605,764,1367,6736,1757,180.2,110.849,0.024,0.013
2026Q2,2026,Q2,PUBLIC_ACTUAL,2026-07-17,6229,3295,9524,498,4745,813,1403,6961,2065,196.4,113.796,0.023,0.011
